"","loan_amount","interest_rate","term","grade","state","annual_income","homeownership","debt_to_income"
"1",28000,14.07,60,"C","NJ",90000,"MORTGAGE",18.01
"2",5000,12.61,36,"C","HI",40000,"RENT",5.04
"3",2000,17.09,36,"D","WI",40000,"RENT",21.15
"4",21600,6.72,36,"A","PA",30000,"RENT",10.16
"5",23000,14.07,36,"C","CA",35000,"RENT",57.96
"6",5000,6.72,36,"A","KY",34000,"OWN",6.46
"7",24000,13.59,60,"C","MI",35000,"MORTGAGE",23.66
"8",20000,11.99,60,"B","AZ",110000,"MORTGAGE",16.19
"9",20000,13.59,36,"C","NV",65000,"MORTGAGE",36.48
"10",6400,6.71,36,"A","IL",30000,"RENT",18.91
"11",25000,15.04,60,"C","IL",75000,"MORTGAGE",10.45
"12",40000,9.92,60,"B","FL",91900,"MORTGAGE",1.82
"13",16000,13.59,36,"C","SC",122000,"MORTGAGE",12.06
"14",17000,9.43,60,"B","CO",88000,"MORTGAGE",3.67
"15",3000,19.03,36,"D","FL",17000,"MORTGAGE",33.98
"16",20000,19.03,60,"D","TN",60000,"MORTGAGE",38.46
"17",12000,19.03,60,"D","NV",60000,"MORTGAGE",31.22
"18",30000,28.72,60,"F","NV",72000,"RENT",20.33
"19",5000,26.77,36,"E","IL",210000,"MORTGAGE",9.53
"20",20000,15.05,60,"C","CA",83000,"MORTGAGE",18.44
"21",7000,6.08,36,"A","KY",50000,"MORTGAGE",15.6
"22",10000,11.98,36,"B","NV",42000,"MORTGAGE",32
"23",21050,13.59,60,"C","NJ",1e+05,"MORTGAGE",26.53
"24",3500,6.71,36,"A","TX",40280,"MORTGAGE",7.27
"25",8000,7.96,36,"A","VA",82000,"RENT",17.31
"26",18000,12.61,60,"C","PA",55000,"MORTGAGE",14.42
"27",10000,11.98,36,"B","NY",55000,"RENT",13.68
"28",3200,7.34,36,"A","IL",33000,"RENT",19.38
"29",10000,5.32,36,"A","GA",60000,"RENT",11
"30",6000,6.07,36,"A","MO",48000,"MORTGAGE",2.88
"31",12000,12.62,36,"C","CA",106000,"MORTGAGE",26.25
"32",40000,9.44,60,"B","TX",245000,"MORTGAGE",24.9
"33",19000,19.03,60,"D","AR",50000,"MORTGAGE",36.75
"34",28000,20.39,60,"D","SC",80000,"MORTGAGE",28.3
"35",15000,9.93,60,"B","CA",140000,"MORTGAGE",13.82
"36",2400,6.08,36,"A","MD",70000,"OWN",0
"37",10000,21.45,36,"D","MD",45000,"RENT",10.59
"38",24000,15.04,60,"C","NJ",70000,"MORTGAGE",17.06
"39",9500,10.42,36,"B","PA",75000,"RENT",18.53
"40",30000,12.61,36,"C","CA",53592,"RENT",7.1
"41",10000,18.06,60,"D","MI",19000,"MORTGAGE",24.79
"42",15000,11.99,60,"B","MD",90000,"RENT",15.72
"43",35000,15.05,60,"C","VA",77000,"RENT",14.82
"44",10000,15.05,36,"C","TX",42000,"RENT",25.89
"45",40000,12.62,60,"C","TX",130000,"MORTGAGE",13.51
"46",15000,6.72,36,"A","NC",76300,"OWN",10.71
"47",20000,6.71,36,"A","FL",190000,"MORTGAGE",2.68
"48",4500,15.05,36,"C","TX",41000,"RENT",25.7
"49",16000,9.93,60,"B","NE",30000,"RENT",3.64
"50",10000,10.42,36,"B","NC",88000,"MORTGAGE",17.24
"51",20000,22.91,60,"E","TX",115000,"MORTGAGE",18.72
"52",20600,30.79,60,"G","TX",95731,"RENT",19.64
"53",35000,15.05,60,"C","CA",127000,"RENT",9.12
"54",10000,6.07,36,"A","GA",75000,"MORTGAGE",22.91
"55",12000,6.07,36,"A","NC",70000,"MORTGAGE",21.41
"56",1925,17.47,36,"D","FL",22000,"OWN",13.05
"57",15000,7.34,36,"A","NJ",75000,"MORTGAGE",20.16
"58",20000,13.59,36,"C","NV",73000,"MORTGAGE",39.08
"59",6000,6.72,36,"A","NV",76000,"MORTGAGE",14.62
"60",10000,5.31,36,"A","CO",188000,"RENT",11.64
"61",25000,9.93,36,"B","WV",50000,"MORTGAGE",12.15
"62",10000,9.92,36,"B","MD",58000,"OWN",12.58
"63",6000,9.93,36,"B","VA",105000,"RENT",16.73
"64",20000,14.07,60,"C","VA",114000,"MORTGAGE",28.13
"65",15000,7.97,36,"A","CA",150000,"MORTGAGE",7.89
"66",20000,5.31,36,"A","PA",69000,"MORTGAGE",15.42
"67",10500,9.93,60,"B","FL",30000,"MORTGAGE",32.4
"68",11400,14.08,60,"C","IL",60000,"MORTGAGE",17.28
"69",5500,12.61,36,"C","NH",74000,"MORTGAGE",32.06
"70",5000,12.62,36,"C","UT",25000,"RENT",3.7
"71",9600,17.47,36,"D","DE",32000,"OWN",22.09
"72",15000,12.62,36,"C","MA",31000,"RENT",16.26
"73",10000,6.71,36,"A","NJ",64000,"RENT",8.72
"74",10450,19.42,60,"D","KY",24000,"RENT",16.3
"75",7200,12.62,36,"C","NC",77000,"MORTGAGE",16.04
"76",35000,14.08,60,"C","FL",31000,"MORTGAGE",28.42
"77",4200,10.91,36,"B","OR",13930,"RENT",21.94
"78",2400,17.47,36,"D","OH",60000,"RENT",19.22
"79",12800,18.06,36,"D","TX",41787,"MORTGAGE",37.74
"80",8000,16.02,36,"C","CA",45000,"MORTGAGE",15.44
"81",30000,19.03,36,"D","OK",77000,"MORTGAGE",18.39
"82",7000,12.62,36,"C","PA",72000,"MORTGAGE",27.23
"83",25000,6.07,36,"A","TX",165000,"MORTGAGE",11.14
"84",40000,9.43,60,"B","FL",43000,"MORTGAGE",1.56
